Modelo,R2_Test,R2_CV_Mean,R2_CV_Std,MAE_Test,Tiempo_Segundos,Mejor_R2_Optimizacion,Param_n_estimators,Param_max_depth,Param_min_samples_split,Param_min_samples_leaf,Param_max_features,Param_learning_rate,Param_subsample,Param_C,Param_gamma,Param_epsilon,Param_colsample_bytree
RandomForest,0.2239993498344861,0.412643116098497,0.1997008136820969,11.625327920213163,44.991093158721924,0.412643116098497,50.0,5.0,2.0,1.0,sqrt,,,,,,
GradientBoosting,0.3666097396023097,0.4269314031741363,0.18071166175200906,11.570247238137929,8.388843536376953,0.4269314031741363,50.0,3.0,2.0,,,0.1,1.0,,,,
SVR,0.49517944208255127,0.3236419848367908,0.2601649545241646,11.976442471747143,1.1783652305603027,0.3236419848367908,,,,,,,,100.0,0.01,0.2,
XGBoost,0.5048462182956877,0.4496560471857244,0.24924398527306696,9.649814907912779,5.271679401397705,0.4496560471857244,50.0,3.0,,,,0.1,1.0,,,,1.0
